id	publisher	domain	dataset	period	geography	access	license	redistributable	publication_status	source_url	note
ar_iss_2024_lombardia	Istituto Superiore di Sanita	human_amr	AR-ISS dati 2024	2024	Lombardia	open report	copyright ISS; dati fattuali estratti con citazione	S per aggregati fattuali con attribuzione	public_approved	https://www.epicentro.iss.it/antibiotico-resistenza/ar-iss/RIS-5_2025.pdf	Sangue e liquor; sei combinazioni; copertura 53,7%; nessun downscaling
aifa_osmed_2024_lombardia	Agenzia Italiana del Farmaco	antimicrobial_use	Rapporto OsMed Regione Lombardia 2024	2024	Lombardia	open report	to_verify per il PDF; dati fattuali estratti con citazione	S per aggregati fattuali con attribuzione	public_approved	https://www.aifa.gov.it/documents/20142/3610201/Lombardia_Osmed_2024.pdf	Tabella 13: consumo e spesa complessiva antibiotici; non prevalenza AMR
istat_admin_2026_lombardia	ISTAT	administrative_geography	Confini delle unita amministrative a fini statistici	2026-01-01	Lombardia	open download	CC BY 4.0	S	public_approved	https://www.istat.it/notizia/confini-delle-unita-amministrative-a-fini-statistici-al-1-gennaio-2018-2/	Versione generalizzata; 1502 comuni, 12 province/citta metropolitana, 1 regione; trasformata da EPSG:32632 a EPSG:4326
regione_lombardia_admin_2020	Regione Lombardia	administrative_geography	Limiti amministrativi 2020 con aggiornamenti DbT/PGT	2020	Lombardia	open API	CC0 1.0	S	historical_reference	https://www.dati.lombardia.it/Territorio/Limiti-amministrativi-Regione-Lombardia-2020-con-a/b7fb-r6ie	Fonte regionale ufficiale ma superata per la base corrente: 1506 comuni contro 1502 ISTAT 2026
regione_lombardia_microbio_2023	Regione Lombardia	human_amr	MICROBIO - Report Emocolture adulti 2023	2023	Lombardia	open report	licenza specifica non esposta; dati fattuali estratti con citazione	S per aggregati fattuali con attribuzione	public_approved	https://www.regione.lombardia.it/wps/wcm/connect/ba81b9eb-5f1a-4aa2-ae89-3e5bd1189e21/REGIONE%2BLOMBARDIA_Report_Emocolture_Adulti_2023.pdf?CACHEID=ROOTWORKSPACE-ba81b9eb-5f1a-4aa2-ae89-3e5bd1189e21-pnMQDNp&MOD=AJPERES	31 presidi pubblici selezionati; 22388 eventi BSI; limiti metodologici conservati
arpa_lombardia_sire_acque	ARPA Lombardia	wastewater_context	SIRe Acque - catasto	corrente	Lombardia	public information page	vedere la fonte aggregata 2025 separata	N per le righe del catasto; S solo per la sintesi aggregata	contextual_reference	https://www.arpalombardia.it/temi-ambientali/acqua/acque-reflue/sire-acque/	Il catasto completo non e redistribuito; export 2025 e sintesi aggregata sono documentati nella riga dedicata
izsler_amr	IZSLER	veterinary_amr	Sorveglianza e studi AMR veterinari	mixed	Lombardia/Emilia-Romagna	mixed	to_verify	to_verify	candidate	https://www.izsler.it/	Stub residuo: ClassyFarm e login-gated; indagine suini ESPHM 2025 non separabile ER/LOM. Prima evidenza pubblica staccabile: izsler_salmonella_dairy_cr_mn_2021_2022
izsler_salmonella_dairy_cr_mn_2021_2022	IZSLER	veterinary_amr	Salmonella enterica in stalle da latte CR/MN	2021-2022	Province di Cremona e Mantova	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3390/ani14142043	Parolini et al. Animals 2024; 118 stalle, 51 isolati MIC; coorte diagnostica, non prevalenza regionale
vetinfo_bdn_lombardia	Ministero della Salute - VetInfo	livestock_context	BDN statistiche patrimonio zootecnico	2026-06	Lombardia	open aggregates	BDN pubblica; citazione obbligatoria	S per aggregati regionali	public_approved	https://www.vetinfo.it/j6_statistiche/	Giugno 2026 via TESEO/CLAL (fonte BDN): bovini 1492937, suini 3949063, ovini 80353, caprini 62001
istat_agricoltura_lombardia	ISTAT	agriculture_context	7 Censimento generale agricoltura	2020	Comune/Regione	open	CC BY 4.0	to_verify	candidate	https://www.istat.it/statistiche-per-temi/censimenti/agricoltura/7-censimento-generale/risultati/	Contesto, non denominatore epidemiologico automatico
regione_lombardia_aware_2025	Regione Lombardia	human_antimicrobial_use	Report AWaRe 2025	2025	Lombardia/ASST	open report	licenza specifica PDF non esposta; dati fattuali estratti con citazione	S per aggregati fattuali con attribuzione	public_approved	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/05-prevenzione-e-stili-di-vita/red-antimicrobico-resistenza/allegati/2026_01_22%20Report%20AWaRe%202025.pdf	25 ASST; popolazione generale, under 14 e over 65; consumo territoriale, non resistenza
regione_lombardia_pps3	Regione Lombardia	healthcare_amr_point_prevalence	Report PPS-3 Regione Lombardia	2022	Lombardia	open report	licenza specifica PDF non esposta; dati fattuali estratti con citazione	S per aggregati fattuali con attribuzione	public_approved	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/05-prevenzione-e-stili-di-vita/red-antimicrobico-resistenza/allegati/REPORT%2BPPS-3.pdf	28 strutture; 12412 pazienti; studio puntuale con limiti di rappresentativita
arpa_lombardia_sire_2025_summary	ARPA Lombardia	wastewater_context	Dati complessivi conformita e valutazioni 2025	2025	Lombardia	open ZIP/XLSX	riuso elaborazioni con citazione esplicitamente richiesto dalla pagina fonte	S per soli aggregati regionali con attribuzione	public_approved	https://sireacque.arpalombardia.it/info.asp	1513 righe sorgente; il sito pubblica solo aggregati e nessun dettaglio impianto
regione_lombardia_hydrography	Regione Lombardia	hydrography	Reticolo idrografico regionale unificato	acquisito 2026-08-16	Lombardia	open ZIP	IODL 2.0 secondo licenza generale portale salvo eccezioni non indicate	S con attribuzione	public_approved	https://www.dati.lombardia.it/Territorio/RETICOLO-IDROGRAFICO-REGIONALE-UNIFICATO/2398-zrim	Pubblicati solo RIP e AIPO; 975 linee; conversione EPSG:32632 a EPSG:4326 e semplificazione 25 m
regione_lombardia_microbio_pediatric_2023	Regione Lombardia	human_amr	MICROBIO - Infezioni invasive pediatriche 2023	2023	Lombardia	open report	licenza specifica PDF non esposta; dati fattuali estratti con citazione	S per aggregati fattuali con attribuzione	public_approved	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/05-prevenzione-e-stili-di-vita/red-antimicrobico-resistenza/allegati/REGIONE%2BLOMBARDIA_Report%2BInfezioni%2Binvasive%2Bpediatriche_2023.pdf	1311 eventi BSI; 36 isolamenti liquor; nessuna tabella per singola struttura ripubblicata
regione_lombardia_vet_rabbit_guidance	Regione Lombardia	veterinary_stewardship	Uso prudente dell'antibiotico nell'allevamento del coniglio da carne	2022	Lombardia	open report	licenza specifica PDF non esposta	N; pubblicato solo link ufficiale	reference_link_only	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/10-animali-e-sanita-pubblica-veterinaria/red-antimicrobico-resistenza-in-ambito-veterinario/allegati/Uso%20prudente%20dell%20antibiotico%20nell%20allevamento%20del%20coniglio%20da%20carne_2022.pdf	Materiale divulgativo e di stewardship; non dataset AMR
regione_lombardia_vet_dairy_guidance	Regione Lombardia	veterinary_stewardship	Uso prudente dell'antibiotico nell'allevamento bovino da latte	2023	Lombardia	open report	licenza specifica PDF non esposta	N; pubblicato solo link ufficiale	reference_link_only	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/10-animali-e-sanita-pubblica-veterinaria/red-antimicrobico-resistenza-in-ambito-veterinario/allegati/Uso%20prudente%20dell%20antibiotico%20nell%20allevamento%20bovino%20da%20latte_2023.pdf	Materiale divulgativo e di stewardship; non dataset AMR
regione_lombardia_vet_swine_guidance	Regione Lombardia	veterinary_stewardship	Uso prudente degli antibiotici nell'allevamento suino	2025	Lombardia	open report	licenza specifica PDF non esposta	N; pubblicato solo link ufficiale	reference_link_only	https://www.regione.lombardia.it/content/dam/rl/canali-tematici-servizi/01-sanita/10-animali-e-sanita-pubblica-veterinaria/red-antimicrobico-resistenza-in-ambito-veterinario/allegati/Uso%20prudente%20degli%20antibiotici%20nell%20allevamento%20suino_2025.pdf	Materiale divulgativo e di stewardship; non dataset AMR
regione_lombardia_wastewater_surveillance	Regione Lombardia	wastewater_amr_candidate	Sorveglianza basata sulle acque reflue	2023-2026	Lombardia	public page	to_verify	N fino alla pubblicazione di risultati AMR	candidate	https://www.regione.lombardia.it/sanita/prevenzione-e-stili-di-vita/sicurezza-negli-ambienti-di-vita/sorvegliaza-basata-acque-reflue	Programmata estensione a geni di resistenza; i report correnti non costituiscono ancora dataset AMR
regione_lombardia_pncar_priorities_2025	Regione Lombardia	policy	Azioni prioritarie regionali PNCAR	2025-2026	Lombardia	public page	n/a	n/a	policy_reference	https://www.regione.lombardia.it/sanita/animali-e-sanita-pubblica-veterinaria/antimicrobico-resistenza-in-ambito-veterianrio	DGR 4561/2025: priorita veterinarie, reflui e reportistica; fonte di governance, non evidenza
regione_lombardia_wastewater_points	Regione Lombardia	wastewater_context	Trattamento acque reflue urbane - servizio cartografico	prevalentemente 2017	Lombardia	public ArcGIS REST service	servizio cartografico pubblico regionale; attribuzione conservata	S per geometrie e campi minimizzati con attribuzione	public_approved	https://www.cartografia.servizirl.it/expo/rest/services/gpt/direttiva_alluvioni_2022/MapServer/6	480 punti filtrati come Depuratori / Trattamento acque reflue urbane; contesto ambientale, non punti di campionamento AMR
izsler_mrsa_heavypig_lombardy_2016_2018	IZSLER	veterinary_amr	MRSA filiera suina pesante	2016-2018	Lombardia	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3390/foods9091141	Rodriguez-Lopez et al. Foods 2020; 88 unita, 87 isolati; non ripubblicare Table 2 isolate-level
izsler_mrsa_btm_lombardy_2012_2013	IZSLER	veterinary_amr	S. aureus/MRSA latte di massa	2012-2013	Lombardia	free PMC / Cambridge	to_verify	to_verify	candidate	https://doi.org/10.1017/S0950268816001576	Cortimiglia et al. 2016; tabella provinciale utile ma licenza non CC BY confermata
bdn_bovini_lombardia_2026	Ministero della Salute - VetInfo/BDN	livestock_context	Consistenza bovini	2026-06	Lombardia	open aggregates	BDN citazione obbligatoria	S per aggregati	public_approved	https://teseo.clal.it/index.php?section=allevamenti-capi-bovini-italia	1492937 capi, 10336 allevamenti; non AMR
bdn_suini_lombardia_2026	Ministero della Salute - VetInfo/BDN	livestock_context	Consistenza suini ingrasso/riproduzione	2026-06	Lombardia	open aggregates	BDN citazione obbligatoria	S per aggregati	public_approved	https://teseo.clal.it/index.php?section=allevamenti-capi-suini-italia	3949063 capi, 2113 allevamenti; non AMR
bdn_ovicaprini_lombardia_2026	Ministero della Salute - VetInfo/BDN	livestock_context	Consistenza ovini e caprini	2026-06	Lombardia	open aggregates	BDN citazione obbligatoria	S per aggregati	public_approved	https://teseo.clal.it/index.php?section=allevamenti-capi-ovicaprini-italia	80353 ovini, 62001 caprini, 4561 allevamenti; non AMR
caltagirone_oltrepo_water_2014_2015	Universita di Pavia	environmental_amr	ESBL/KPC/MCR acque Oltrepo Pavese	2014-2015	Oltrepo Pavese	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3389/fmicb.2017.02232	Caltagirone et al. Front Microbiol 2017; 246 campioni; non ripubblicare isolate-level
abualshaar_pavia_water_2019	Universita di Pavia	environmental_amr	OXA-244 ST131 acque Pavia	2019-05	Pavia	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3389/fmicb.2022.920319	AbuAlshaar et al. Front Microbiol 2022; 18 campioni; non ripubblicare Table 1
rapi_wildbirds_vanzago_2024	Universita di Milano	wildlife_amr	Gram-negativi AMR uccelli CRAS Vanzago	2024	Vanzago / Lombardia	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3390/ani15152289	Rapi et al. Animals 2025; 112 uccelli, 157 isolati; non fauna libera
raineri_hedgehog_3gcr_2023_2024	IZSLER / UNIMI	wildlife_amr	E. coli 3GC-R ricci CRAS Lombardia	2023-2024	MI VA CO MB	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.1007/s11259-026-11356-4	Raineri et al. Vet Res Commun 2026; 25/49; non fauna libera
simon_mrsa_pigchain_lombardy_2019	IZSLER / UNIPR	food_chain_amr	MRSA filiera suina Lombardia	circa 2019	Lombardia	open access paper	to_verify PAGEPress	to_verify	candidate	https://doi.org/10.4081/ijfs.2020.8412	Simon et al. IJFS 2020; 50 unita; overlap con Rodriguez-Lopez 2020
formenti_wildboar_esbl_brescia_2017_2020	IZSLER	wildlife_amr	E. coli ESBL/AmpC cinghiali Brescia	2017-2020	Brescia	open access paper	CC BY 4.0	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3390/ani11071855	Formenti et al. Animals 2021; 1504 animali; 15.96% ESBL/AmpC
bianchini_cjejuni_lodi_dairy_2010_2012	IZSLER Lodi	food_amr	C. jejuni chinoloni stalle da latte	2010-2012	Lodi	open access paper	CC BY	S per aggregati fattuali con attribuzione	public_approved	https://doi.org/10.3390/ijerph110707154	Bianchini et al. IJERPH 2014; 73 isolati sequenziati; QR 17/73 (23.3%); macrolidi 0; CC BY 3.0
fusarpoli_btm_mrs_lodi_2024	Universita di Milano	food_amr	MRS/MRSA latte di massa Lodi	2024	Lodi	publisher PDF	to_verify Elsevier	to_verify	candidate	https://doi.org/10.1016/j.rvsc.2024.105482	Fusar Poli / Addis et al. Res Vet Sci 2024; 88 stalle; licenza CC BY non confermata
