sardinia_runtime_role	sardinia_source	lombardia_candidate	status	next_gate
administrative_geography	RAS DBGT 10K V05	ISTAT confini amministrativi 2026 Lombardia	integrated	1502 comuni 12 province/citta metropolitana e 1 regione validati
human_amr_regional	ISS AR-ISS 2024 Sardegna	ISS AR-ISS 2024 Lombardia	integrated	AR-ISS 2024 pubblicato; aggiornare quando ISS rilascia una nuova annualita
human_amr_facility	AOU Sassari and published local studies	Regione Lombardia MICROBIO e PPS-3	integrated_baseline	aggregati regionali pubblicati; studi locali restano candidati senza downscaling
antimicrobial_use	AIFA OsMed Sardegna 2024	AIFA OsMed Lombardia 2024	integrated	OsMed 2024 e AWaRe 2025 pubblicati con ruoli distinti
livestock_context	VetInfo BDN Sardegna 2025	VetInfo BDN Lombardia	candidate	acquire current regional aggregates
veterinary_amr	IZS Sardegna and published studies	IZSLER and Lombardy-specific literature	candidate	identify separable public evidence
food_chain_amr	Berchidda study	Lombardy-specific peer-reviewed food-chain studies	candidate	reproducible literature search and eligibility review
wildlife_amr	Sardinia wild-boar study	Lombardy-specific wildlife literature	candidate	reproducible literature search and geography review
environmental_amr	published Sardinian water-body evidence	Lombardy wastewater and environmental studies	candidate	separate measured AMR from planned surveillance
hydrography	RAS DBGT watercourses	Regione Lombardia/ARPA official hydrography	integrated	RIP/AIPO pubblicati; RIB/RIM esclusi per peso e ruolo
wastewater_context	SIRA depurators	ARPA Lombardia SIRe Acque	aggregate_integrated	SIRe 2025 pubblicato solo come sintesi regionale non-AMR
methodology	PNCAR and international guidance	shared national/international guidance	candidate	version and citation review
